gemma:
Step	Training Loss	ValidationLoss	Bleu		R1		R2		Rl		Rlsum
5	1.644500	1.727852	0.354900	0.622600	0.290500	0.496700	0.574300
10	0.965100	1.256986	0.409100	0.732300	0.547900	0.694400	0.727900
15	0.877400	1.206204	0.463700	0.732300	0.553300	0.695200	0.728200
20	0.747200	1.139346	0.508300	0.736600	0.559800	0.699300	0.732200
25	0.703100	1.090481	0.507900	0.747500	0.575000	0.712200	0.743100
30	0.741900	1.055638	0.502100	0.761200	0.594000	0.727000	0.756000
35	0.682700	1.031758	0.518600	0.769600	0.606500	0.738100	0.765300
40	0.580000	1.016434	0.532900	0.771100	0.609000	0.739700	0.766500
45	0.701300	0.995808	0.535800	0.779300	0.618400	0.747100	0.774600
50	0.489600	0.988674	0.511000	0.779400	0.619900	0.747300	0.774700
55	0.501600	0.984012	0.529800	0.777200	0.623800	0.747200	0.772600
60	0.486600	0.966702	0.533000	0.781000	0.632100	0.752200	0.775900
65	0.650700	0.955988	0.554000	0.784900	0.637900	0.755700	0.779700
70	0.600500	0.952997	0.558900	0.790100	0.643800	0.761700	0.785500
75	0.567000	0.947026	0.556300	0.794200	0.650800	0.766300	0.789800
80	0.526000	0.940026	0.549400	0.794600	0.653800	0.767100	0.790200
85	0.625900	0.923644	0.551500	0.793400	0.652600	0.767700	0.789300
90	0.478300	0.921745	0.544200	0.799800	0.662000	0.774800	0.795700
95	0.419900	0.916263	0.571800	0.797100	0.659700	0.772300	0.792800
100	0.437700	0.918643	0.565800	0.799600	0.663500	0.774900	0.795500
105	0.348000	0.920354	0.551600	0.800800	0.667800	0.777100	0.797000
110	0.430200	0.918046	0.541900	0.798400	0.666000	0.774700	0.795000
115	0.416900	0.913148	0.532400	0.798900	0.666800	0.774200	0.794800
120	0.460000	0.925407	0.522100	0.799300	0.670100	0.775400	0.795200
125	0.442500	0.920184	0.527900	0.796700	0.667600	0.773800	0.793700
130	0.346500	0.928809	0.545400	0.791200	0.666700	0.768000	0.788300
135	0.356100	0.916927	0.529700	0.797400	0.671000	0.775800	0.794100
140	0.404000	0.916434	0.530500	0.801300	0.677000	0.780100	0.798400
145	0.381600	0.912382	0.547000	0.802100	0.680400	0.782000	0.799000
150	0.357700	0.897407	0.546000	0.806600	0.683800	0.784000	0.803000
155	0.383000	0.911426	0.544800	0.808000	0.687900	0.786800	0.804500
160	0.424100	0.894910	0.537700	0.811000	0.687400	0.789800	0.807500
165	0.412900	0.906637	0.545400	0.809300	0.686500	0.787800	0.806000
170	0.312400	0.886838	0.551300	0.817000	0.694600	0.795800	0.813700
175	0.258900	0.896557	0.556600	0.813200	0.693300	0.791600	0.809900
180	0.281500	0.948601	0.558400	0.805300	0.688700	0.785000	0.801600
185	0.236500	0.948866	0.556200	0.806500	0.686600	0.785400	0.802800
190	0.213600	0.979018	0.557000	0.805800	0.689800	0.785800	0.802500
195	0.291600	0.976769	0.557600	0.806700	0.690000	0.786100	0.803400
200	0.283000	0.962652	0.553900	0.809100	0.692700	0.788800	0.805300
